_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
012.2750;+57.8158;999.0000;+99.0000;  4614;00 49 06.0;+57 48 57; 3.44; 0.57;  F9V+dM0
012.0046;-21.7225;999.0000;+99.0000;  4622;00 48 01.1;-21 43 21; 5.57;-0.06;  B9V
012.0725; +7.3000;999.0000;+99.0000;  4627;00 48 17.4;+07 18 00; 5.93; 1.10;  G8III
012.0958; +5.2806;999.0000;+99.0000;  4628;00 48 23.0;+05 16 50; 5.75; 0.88;  K2V
012.2087;+50.9683;999.0000;+99.0000;  4636;00 48 50.1;+50 58 06; 4.89;-0.11;  B9III
012.1708; +7.5850;999.0000;+99.0000;  4656;00 48 41.0;+07 35 06; 4.43; 1.50;  K4IIIb
012.2446;+16.9406;999.0000;+99.0000;  4676;00 48 58.7;+16 56 26; 5.07; 0.51;  F8V
012.4533;+41.0789;999.0000;+99.0000;  4727;00 49 48.8;+41 04 44; 4.53;-0.15;  B5V+F8V
012.3567;-13.5614;999.0000;+99.0000;  4730;00 49 25.6;-13 33 41; 5.59; 1.30;  K5III
012.3079;-24.1364;999.0000;+99.0000;  4732;00 49 13.9;-24 08 11; 5.90; 0.95;  K2III
012.2362;-46.6978;999.0000;+99.0000;  4737;00 48 56.7;-46 41 52; 6.27; 0.90;  G8III
012.4700;+27.7108;999.0000;+99.0000;  4757;00 49 52.8;+27 42 39; 7.00; 0.36;  F4III
012.4717;+27.7103;999.0000;+99.0000;  4758;00 49 53.2;+27 42 37; 7.10;     ;  F5III
012.3892;-23.3617;999.0000;+99.0000;  4772;00 49 33.4;-23 21 42; 6.28; 0.13;  A3V
012.6817;+64.2475;999.0000;+99.0000;  4775;00 50 43.6;+64 14 51; 5.39; 0.49;  G0III-IV+B9.5V
012.5762;+45.0022;999.0000;+99.0000;  4778;00 50 18.3;+45 00 08; 6.15; 0.01;  A0pCr
012.5317;-10.6444;999.0000;+99.0000;  4813;00 50 07.6;-10 38 40; 5.19; 0.50;  F7IV-V
012.1475;-74.9233;999.0000;+99.0000;  4815;00 48 35.4;-74 55 24; 5.07; 1.37;  K5III
012.8183;+61.8058;999.0000;+99.0000;  4817;00 51 16.4;+61 48 21; 6.07; 1.88;  K2Ib-IICN-2
012.7392;+51.5081;999.0000;+99.0000;  4818;00 50 57.4;+51 30 29; 6.39; 0.28;  F2IV
012.5154;-43.3947;999.0000;+99.0000;  4849;00 50 03.7;-43 23 41; 6.48; 0.29;  A9-F0III
013.7212;+83.7072;999.0000;+99.0000;  4853;00 54 53.1;+83 42 26; 5.62; 0.09;  A4V
012.8904;+51.5711;999.0000;+99.0000;  4881;00 51 33.7;+51 34 16; 6.21;     ;  B9.5V
012.6717;-50.9869;999.0000;+99.0000;  4919;00 50 41.2;-50 59 13; 5.22; 0.36;  F2III
