Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS02	5.70E-01	"[5.000e-1,6.500e-1]"	1.47E+01	electron	1.90E+00	3.00E-01	1.60E+00	0	1.28E+01	1.66E+01
AMS02	7.30E-01	"[6.500e-1,8.200e-1]"	2.43E+01	electron	1.80E+00	2.00E-01	1.60E+00	0	2.25E+01	2.61E+01
AMS02	9.10E-01	"[8.200e-1,1.010e+0]"	2.08E+01	electron	1.50E+00	1.00E-01	1.40E+00	0	1.93E+01	2.23E+01
AMS02	1.11E+00	"[1.010e+0,1.220e+0]"	1.83E+01	electron	1.30E+00	1.00E-01	1.20E+00	0	1.70E+01	1.96E+01
AMS02	1.33E+00	"[1.220e+0,1.460e+0]"	1.64E+01	electron	9.00E-01	0.00E+00	9.00E-01	0	1.55E+01	1.73E+01
AMS02	1.58E+00	"[1.460e+0,1.720e+0]"	1.37E+01	electron	7.00E-01	0.00E+00	7.00E-01	0	1.30E+01	1.44E+01
AMS02	1.85E+00	"[1.720e+0,2.000e+0]"	1.11E+01	electron	5.00E-01	0.00E+00	5.00E-01	0	1.06E+01	1.16E+01
AMS02	2.15E+00	"[2.000e+0,2.310e+0]"	8.94E+00	electron	4.10E-01	1.00E-02	4.00E-01	0	8.53E+00	9.35E+00
AMS02	2.47E+00	"[2.310e+0,2.650e+0]"	7.10E+00	electron	3.10E-01	1.00E-02	3.00E-01	0	6.79E+00	7.41E+00
AMS02	2.82E+00	"[2.650e+0,3.000e+0]"	5.49E+00	electron	2.30E-01	1.00E-02	2.20E-01	0	5.26E+00	5.72E+00
AMS02	3.17E+00	"[3.000e+0,3.360e+0]"	4.61E+00	electron	1.80E-01	1.00E-02	1.70E-01	0	4.43E+00	4.79E+00
AMS02	3.54E+00	"[3.360e+0,3.730e+0]"	3.62E+00	electron	1.40E-01	1.00E-02	1.30E-01	0	3.48E+00	3.76E+00
AMS02	3.92E+00	"[3.730e+0,4.120e+0]"	2.87E+00	electron	1.00E-01	0.00E+00	1.00E-01	0	2.77E+00	2.97E+00
AMS02	4.32E+00	"[4.120e+0,4.540e+0]"	2.27E+00	electron	8.00E-02	0.00E+00	8.00E-02	0	2.19E+00	2.35E+00
AMS02	4.76E+00	"[4.540e+0,5.000e+0]"	1.80E+00	electron	6.00E-02	0.00E+00	6.00E-02	0	1.74E+00	1.86E+00
AMS02	5.24E+00	"[5.000e+0,5.490e+0]"	1.42E+00	electron	4.00E-02	0.00E+00	4.00E-02	0	1.38E+00	1.46E+00
AMS02	5.74E+00	"[5.490e+0,6.000e+0]"	1.11E+00	electron	3.00E-02	0.00E+00	3.00E-02	0	1.08E+00	1.14E+00
AMS02	6.26E+00	"[6.000e+0,6.540e+0]"	8.80E-01	electron	2.60E-02	1.00E-03	2.50E-02	0	8.54E-01	9.06E-01
AMS02	6.81E+00	"[6.540e+0,7.100e+0]"	6.95E-01	electron	2.10E-02	1.00E-03	2.00E-02	0	6.74E-01	7.16E-01
